canonical;word;forms;pos;doc_freq;mean_surprisal;examples;meaning
анатохич;анатохич;анатохич / анатохича;имя;40;29.140219789743423;​@УвасВсеок-хз06значит анатохич не самый тупой ||| Анатохич это был бр истэкпатибум ||| Анатохич перестал узнавать брейнротов ||| Pov Анатолий забыл что он теперь не будет снимать про brain road типичные его день когда он не знаешь Брайан роты ||| Здравствуйте я психолог анатохича и он забывает бреинротов и идёт на оздоровление🎉;чел
брейнрот;брейнрот;браинрот / бреинрот / бреинротов / брейнрот / брейнрота / брейнротов / брейнроты / бренрот / брэинрот;сущ.;82;29.902849174127347;За окном бреинрот 💀😃 ||| Что тебе больше нравится 7 чудес света или за окном бреинрод ||| Кто купит бреинрота Лос 67 230млн в сек на ковёр самолёт ||| Я знаю много бреинротов так что я выиграю он знает только оснавных😂 ||| Отупеть скорее можно от самих бреинротов;тупой мем (нормальное описание потом подкручу как-нибудь)
